Jump	Col 359 Sector SK-L b10-3	7.89 Ly	Nyarlathotep	28 Aug 2022, 11:58
Jump	Col 359 Sector ZS-R c5-17	9.83 Ly	Nyarlathotep	28 Aug 2022, 11:56
Jump	Col 359 Sector UF-L b10-4	12.03 Ly	Nyarlathotep	28 Aug 2022, 11:54
Jump	HIP 80609	9.72 Ly	Nyarlathotep	28 Aug 2022, 11:53
Jump	Praea Euq NI-S b4-1	8.35 Ly	Nyarlathotep	28 Aug 2022, 11:50
Jump	Praea Euq GW-W c1-21	7.03 Ly	Nyarlathotep	28 Aug 2022, 11:48
Jump	Praea Euq GW-W c1-23	7.25 Ly	Nyarlathotep	28 Aug 2022, 11:47
Jump	Praea Euq LX-T b3-4	8.47 Ly	Nyarlathotep	28 Aug 2022, 11:46
Jump	HIP 80673	8.60 Ly	Nyarlathotep	28 Aug 2022, 11:20
Jump	Col 285 Sector JA-Z b29-0	6.60 Ly	Nyarlathotep	28 Aug 2022, 11:18
Jump	Col 285 Sector JA-Z b29-5	7.34 Ly	Nyarlathotep	28 Aug 2022, 11:17
Jump	Col 285 Sector JA-Z b29-6	10.67 Ly	Nyarlathotep	28 Aug 2022, 11:15
Jump	Col 285 Sector FU-A b29-0	8.60 Ly	Nyarlathotep	28 Aug 2022, 11:12
Jump	HIP 79546	10.84 Ly	Nyarlathotep	28 Aug 2022, 11:03
Jump	Col 285 Sector BO-C b28-6	5.03 Ly	Nyarlathotep	28 Aug 2022, 11:02
Jump	Col 285 Sector BO-C b28-5	9.25 Ly	Nyarlathotep	28 Aug 2022, 10:59
Jump	Col 285 Sector BO-C b28-0	10.67 Ly	Nyarlathotep	28 Aug 2022, 10:56
Jump	Col 285 Sector ZC-E b27-6	3.71 Ly	Nyarlathotep	28 Aug 2022, 10:52
Jump	Col 285 Sector ZC-E b27-5	9.10 Ly	Nyarlathotep	28 Aug 2022, 10:51
Jump	Col 285 Sector YC-E b27-5	5.70 Ly	Nyarlathotep	28 Aug 2022, 10:48
Jump	Col 285 Sector YC-E b27-4	7.15 Ly	Nyarlathotep	28 Aug 2022, 10:36
Jump	HR 6145	7.23 Ly	Nyarlathotep	28 Aug 2022, 10:33
Jump	Col 285 Sector YV-C c13-18	6.86 Ly	Nyarlathotep	28 Aug 2022, 10:31
Jump	Col 285 Sector WR-F b26-0	6.78 Ly	Nyarlathotep	28 Aug 2022, 10:29
Jump	Col 285 Sector WR-F b26-3	5.56 Ly	Nyarlathotep	28 Aug 2022, 10:29
Jump	Col 285 Sector SL-H b25-5	11.23 Ly	Nyarlathotep	28 Aug 2022, 10:27
Landed	HIP 80491 - HIP 80491 A 1	0 Ly	Nyarlathotep	27 Aug 2022, 23:31
Jump	HIP 80491	9.31 Ly	Nyarlathotep	27 Aug 2022, 23:18
Jump	Col 285 Sector ZK-O d6-151	9.46 Ly	Nyarlathotep	27 Aug 2022, 22:36
Jump	Scorpii Sector MD-S b4-6	5.22 Ly	Nyarlathotep	27 Aug 2022, 22:35
Jump	Scorpii Sector MD-S b4-4	7.80 Ly	Nyarlathotep	27 Aug 2022, 22:33
Jump	Scorpii Sector DL-Y d150	9.14 Ly	Nyarlathotep	27 Aug 2022, 22:32
Jump	HIP 81181	12.40 Ly	Nyarlathotep	27 Aug 2022, 22:31
Jump	Vanaharan	5.43 Ly	Nyarlathotep	27 Aug 2022, 22:29
Jump	Zoryampt	4.45 Ly	Nyarlathotep	27 Aug 2022, 22:27
Jump	d Scorpii	4.48 Ly	Nyarlathotep	27 Aug 2022, 22:26
Jump	Gliese 9553	5.22 Ly	Nyarlathotep	27 Aug 2022, 22:25
Jump	Scorpii Sector GM-V b2-0	6.69 Ly	Nyarlathotep	27 Aug 2022, 22:23
Jump	Scorpii Sector BQ-Y c9	6.47 Ly	Nyarlathotep	27 Aug 2022, 22:22
Jump	Scorpii Sector CG-X b1-5	6.81 Ly	Nyarlathotep	27 Aug 2022, 22:20
Jump	ADS 10035	8.10 Ly	Nyarlathotep	27 Aug 2022, 22:19
